appid,name,release_date__date,genre_description,categories_description,short_description,about_the_game
391220,Rise of the Tomb Raider,"Feb 9, 2016","Action,Adventure","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards","Rise of the Tomb Raider: 20 Year Celebration includes the base game and Season Pass featuring all-new content. Explore Croft Manor in the new “Blood Ties” story, then defend it against a zombie invasion in “Lara’s Nightmare”.","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/391220/extras/ROTTR_AimGreater_30.jpg?t=1530182836"" ><br>Rise of the Tomb Raider: 20 Year Celebration includes the base game and Season Pass featuring all-new content. Explore Croft Manor in the new “Blood Ties” story, then defend it against a zombie invasion in “Lara’s Nightmare”. Survive extreme conditions with a friend in the new online Co-Op Endurance mode, and brave the new “Extreme Survivor” difficulty. Also features an outfit and weapon inspired by Tomb Raider III, and 5 classic Lara skins. Existing DLC will challenge you to explore a new tomb that houses an ancient terror in Baba Yaga: The Temple of the Witch, and combat waves of infected predators in Cold Darkness Awakened.<br><br><strong>KEY FEATURES:</strong><br><ul class=""bb_ul""><li>Lara’s Journey – Lara uncovers an ancient mystery that places her in the cross-hairs of a ruthless organization known as Trinity. As she races to find the secret before Trinity, the trail leads to a myth about the Lost City of Kitezh. Lara knows she must reach the Lost City and its hidden secrets before Trinity. With that, she sets out for Siberia on her first Tomb Raiding expedition.<br></li><li>Woman vs. Wild – In “Rise of the Tomb Raider,” Lara battles with not only enemies from around the world, but the world itself. Hunt animals to craft weapons and scavenge for rare resources in densely populated ecosystems. You’ll encounter beautifully hostile environments, full of treacherous conditions and unstable landscapes that will require Lara to push her limits to the very edge. <br></li><li>Guerilla Combat - Use the environment to your advantage, scale trees and dive underwater to avoid or takedown enemies, configure Lara’s gear, weapons, and ammo to suit your play style from stealth to guns blazing, craft explosives on the fly to sow chaos, and wield Lara’s signature combat bows and climbing axe. <br></li><li>Return to Tomb Raiding – Tombs are back, and they’re bigger and better than ever. In “Rise of the Tomb Raider” you’ll explore huge, awe-inspiring ancient spaces littered with deadly traps, solve dramatic environmental puzzles, and decipher ancient texts to reveal crypts as you take on a world filled with secrets to discover.</li></ul>"
524220,NieR:Automata™,"Mar 17, 2017","Action,RPG,Violent","Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/524220/extras/Nier_PRE_Launch-ENG_UK_Multi_06_Mod.jpg?t=1515664275"" ><br>NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.<br><br>Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world.<br><br>Key Features:<br><ul class=""bb_ul""><li><strong>Action-Packed Battles</strong> – Players will switch between using melee and ranged attacks in battle against hordes of enemies and challenging bosses across a variety of open field maps. The tight controls and incredibly fluid combat are simple to learn for newcomers while offering plenty of depth for more experienced action gamers. Players can perform high-speed battle actions—combining light and heavy attacks—and switch through an arsenal of weaponry while evading enemies with speed and style. <br></li><li><strong>Beautifully Desolate Open-World</strong> – The game seamlessly joins together hauntingly beautiful vistas and locations with no area loading. The environments are rendered in 60fps and contain a wealth of sub-events in addition to the main storyline. <br></li><li><strong>Masterfully Crafted Story and Characters</strong> – NieR: Automata tells the story of androids 2B, 9S and A2 and their ferocious battle to reclaim a machine-driven dystopia overrun by powerful weapons known as machine lifeforms.<br></li><li><strong>Elements of an RPG</strong> – Players will obtain a variety of weapon types, level up in battle, learn new combat skills, and customise a loadout that caters to their playstyle.<br></li><li><strong>Utilise the Pod Support System to Assist In and Outside of Battle</strong> – Pods can attack the enemy in both manual and lock-on modes. They can also assist outside of battle, such as allowing the player to glide through the air. Pods can be enhanced throughout the game, with upgrades including new attack methods and variations.<br></li><li><strong>“Auto Mode” Available for Beginners </strong>– Novice players can elect “Auto Mode” for easy attacks and evasions.</li></ul>"
441830,I am Setsuna,"Jul 19, 2016",RPG,"Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","Inspired by the timeless classic Chrono Trigger, I am Setsuna is a great homage to the JRPG masterpieces of yesteryear. Journey with Setsuna as she prepares to make the ultimate sacrifice and save the people of her land.<u></u>","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/441830/extras/Tagline-616x500[8].png?t=1487258907"" ><br><strong>The I am Setsuna Collector’s Edition includes the full game and the beautiful 27 melody original soundtrack ‘Winter’s End’ by composer Tomoki Miyoshi.</strong><br><br>This is the story of Setsuna; a young woman of incredible inner strength and the sacrifice she must make to save the people of her land.<br><br>The Island had a custom.<br>To maintain peace, once a decade, a sacrifice was offered to a fiend on the island.<br><br>However, one year, the fiend grew violent before the next sacrifice was due.<br>Those living on the island were afraid and tried to calm the fiend by offering a sacrifice; Setsuna, chosen because of her powers of enchantment.<br><br>Setsuna must leave with her safeguards for the farthest land, where the ceremony of sacrifice will be held.<br><br><strong>Key Features:</strong><br><ul class=""bb_ul""><li>A great homage to JRPG masterpieces of yesteryear, using the latest technology to develop a truly memorable story and player experience and bring the authentic JRPG style to current hardware.<br></li><li>A new battle system inspired by the timeless JRPG classic, Chrono Trigger.<br></li><li>An emotionally impactful and memorable story which immerses players in the narrative of Setsuna, whose story portrays heartrending sorrow.<br></li><li>Beautiful character designs and varied in-game locales evoke nostalgia for classic RPGs.</li></ul><br><br>To access your pre-purchase rewards please navigate to the following directory:<br>\steamapps\common\SETSUNA\Soundtrack<br>\steamapps\common\SETSUNA\Wallpaper<br><br><br>If you’ve purchased the I am Setsuna Sountrack (whether as part of the Collector’s Edition or separately) the album will be located here:<br>\steamapps\common\SETSUNA\Soundtrack"
410850,Dragon Quest Heroes,"Dec 3, 2015","Action,RPG","Full controller support,Single-player,Steam Achievements,Steam Cloud","DRAGON QUEST, one of the most iconic RPG series from Japan, now comes to PC as a full-scale action RPG in DRAGON QUEST HEROES: The World Tree’s Woe and the Blight Below.","<img src=""https://%CDN_HOST_MEDIA_SSL%/steam/apps/410850/extras/DQH_steam_banner_DLC.jpg?t=1512022482"" crossorigin=""anonymous""><br><strong>The Digital Slime Edition for PC includes eleven additional goopy Slime Weapons and two bonus maps! </strong><br><br><ul class=""bb_ul""><li>Splat O'Nine Tails<br></li><li>Slime-On-A-Stick<br></li><li>Slime Sword<br></li><li>Gooreat Sword<br></li><li>Gungenir<br></li><li>Gooey Gloves<br></li><li>Happy Map<br></li><li>Goomerang<br></li><li>Goopid's Bow<br></li><li>Squishing Rod<br></li><li>Gold-Digger's Map<br></li><li>Fandangoos<br></li><li>Goolden Axe</li></ul><br>In DRAGON QUEST HEROES: The World Tree’s Woe and the Blight Below, the protagonists must rise up against seemingly insurmountable odds, facing off against swarms of enemies and gigantic monsters in an exhilarating action game. Filled with characters and monsters designed by world-renowned artist Akira Toriyama, DRAGON QUEST HEROES: The World Tree’s Woe and the Blight Below will be available on PC in beautiful HD graphics.<br><br><u>Story</u><br>When a dark shockwave sweeps through the city of Arba, the monsters that once lived peacefully alongside the people are driven into a frenzied rage. As either the hero Luceus or the heroine Aurora, the player joins forces with a cast of fan favorites from previous DRAGON QUEST titles, such as Alena, Bianca and Yangus, to bring the rampaging hordes of monsters to their senses and restore order to the kingdom.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li><strong>Overpower Hundreds of Monsters</strong> – Swing into action against seemingly impossible odds and become the hero of the battlefield. Cleave through relentless swarms of monsters and fight against gigantic foes in an epic clash of good versus evil.<br></li><li><strong>Fight Alongside Legendary Characters</strong> – Players can embark on a journey with some of the most beloved characters  of the DRAGON QUEST series – all voiced – to form their own party of four and stride into battle. From the sultry Maya of DRAGON QUEST IV fame to Yangus, the thief with a heart of gold from DRAGON QUEST VIII, the player’s party will always be full of character.<br></li><li><strong>Strategy-Oriented Battles</strong> – Players can level up each character and upgrade their unique spells and abilities. Swapping between characters strategically and unleashing the right skill at the right time will help players survive the toughest battles.<br></li><li><strong>Collect Monster Medals to Turn the Tide</strong> – Gather monster medals from defeated foes to bring them back to the battlefield as allies or to take advantage of their special skills. Up to 24 monsters can fight by the player’s side at any one time.<br></li><li><strong>Legendary Trio of Creators </strong>– The title comes to life in beautiful high-definition graphics for PC with a host of distinctive characters and monsters designed by world-renowned artist Akira Toriyama. Both Yuji Horii, director and creator of DRAGON QUEST, and Koichi Sugiyama, the composer closely tied to the series since its first installment and creator of countless memorable musical masterpieces, are working on this full-scale action RPG.</li></ul><br><br><strong>Graphics options supported for high end PCs:</strong><br><ul class=""bb_ul""><li>Rendering resolution<br></li><li>Shadow processing<br></li><li>Glare adjustment<br></li><li>Turning movie scene playback on and off<br></li><li>Number of characters displayed<br></li><li>Draw distance <br></li><li>Texture Quality</li></ul><strong>Support for both full-screen and windowed display modes<br>Support for a maximum frame rate of 60fps<br>Support for full HD display at a maximum resolution of 1920 x 1080</strong>"
324510,Boundless,"Nov 13, 2014","Action,Adventure,Early Access,Indie,Massively Multiplayer,RPG","Co-op,Cross-Platform Multiplayer,Full controller support,MMO,Multi-player,Online Co-op,Online Multi-Player,Steam Achievements","Boundless is an epic, single universe voxel sandbox MMO full of endless possibility and discovery. Use portals to travel seamlessly to new worlds as you build, craft, trade, fight and form allegiances. Forge your destiny in a Boundless universe where everything is created by the players.","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/become_boundless.png?t=1530108786"" ><br>In a vast universe of connected worlds, the choice is yours. <br><br>Explorer? Builder? Hunter? Trader? Crafter? Discover your place in the massive open-universe sandbox of Boundless. Watch the sunrise on one world before hunting down rare creatures on another. Explore dark caverns alone or build an empire with friends. Mine, trade or battle for resources. Can you unearth the elusive Oort technologies?<br><br>Will you build a shop, sell your treasures, craft amazing contraptions? Do you yearn to join epic hunts, claim your land or seek new worlds? Everything you do could impact a universe that's constantly changing - Open a Portal and expand your reach across the universe as you shape your citizen, define your role, and become Boundless.<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/explore.png?t=1530108786"" ><br>Join the Great Transmigration and explore the Known Worlds of Boundless. Each world is full of unique inhabitants and resources, ripe for discovery. With your trusty Totem in hand and the ability to build Warp Conduits, you can pinpoint locations on other worlds and travel seamlessly between them. No waiting. No loading. <br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/build.png?t=1530108786"" ><br>Discover and use materials to build your base. Craft Beacons and claim land as your own, protecting all your beloved items within it bounds from other Players and from sacrifice to the land. Use special tools to tweak and transform blocks into ever more interesting and unique structures. Your imagination is Boundless.<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/craft.png?t=1530108786"" ><br>Master the art of crafting! Create weapons, tools, building materials, and a whole host of other technologies waiting to be discovered in the Known Worlds. Use advanced Crafting Machines to build ever more sophisticated items and further your potential. Forge your legacy.<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/hunt.png?t=1530108786"" ><br>Hunt down creatures of all shapes and sizes scattered throughout the Known Worlds. Each world has challenging creatures to discover, each requiring different strategies to best. Get ready to take them on!<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/trade.png?t=1530108786"" ><br>Everything bought and sold in Boundless is generated by you, the players. Buy and sell items through player-owned shops, and compete with others to become the most successful trader on the planet... or maybe in the universe!<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/324510/extras/collaborate.png?t=1530108786"" ><br>Boundless is a sandbox MMORPG that enables player collaboration. You can choose to play solo, or join up with friends or players from all over the world. Explore, defeat dangerous creatures, gather rare resources and build a colony together.<br><br><strong>Other Features</strong><br><ul class=""bb_ul""><li>Colonise planets by yourself or join a settlement with others and grow your beacon into the capital of the world with the Prestige system<br></li><li>Craft hundreds of items including, building blocks, tools, weapons, food and many more<br></li><li>Spend your hard earned skill points in the Skill Tree and tailor your character to how you want to play the game<br></li><li>Complete Objectives, Feats and events to earn rewards and Experience Points to level up your character<br></li><li>Build and maintain a Portal between worlds for you and others to use<br></li><li>Trade items with others or set up a shop to sell and buy items while you’re off adventuring<br></li><li>Each world automatically regenerates areas that are not protected by a Beacon and returns it to its original layout, creating new and much needed resources for you to collect<br></li><li>Seamlessly travel to new worlds and discover different creatures, resources, block colours and user generated creations in an ever-changing universe</li></ul><br><strong>No Subscription Required</strong><br>A vast living, ever-changing and developing MMO universe to explore, hunt, trade, craft and build within - with NO MONTHLY FEE!"
359870,FINAL FANTASY X/X-2 HD Remaster,"May 12, 2016",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition &amp; now available on PC  / Windows!","FINAL FANTASY X tells the story of a star blitzball player, Tidus, who journeys with a young and beautiful summoner named Yuna on her quest to save the world of Spira from an endless cycle of destruction wrought by the colossal menace Sin.<br><br>FINAL FANTASY X-2 returns to the world of Spira two years after the beginning of the Eternal Calm. Having been shown a mysterious but familiar image in a sphere, Yuna becomes a Sphere Hunter and along with her companions Rikku and Paine, embarks on a quest around the world to find the answers to the mystery within.<br><br>Based on the international versions of the games that were previously only released in Japan and Europe, FINAL FANTASY X/X-2 HD Remaster brings these timeless classics forward to the current generation of fans, old and new alike.<br><br><strong>Key Features:</strong><br><ul class=""bb_ul""><li>Characters, monsters, and environments have been fine-tuned to HD detail, providing a richer, deeper FINAL FANTASY visual experience. <br></li><li>Other features in the PC version include remastered/rearranged BGM, <br></li><li>International Edition content, <br></li><li>Auto-save and 5 game boosters including high speed and no encounter modes.</li></ul>"
340170,FINAL FANTASY TYPE-0 HD,"Aug 18, 2015","Action,RPG","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","FINAL FANTASY TYPE-0 HD brings an immersive world, memorable characters and the production value known of the series, together with high quality gameplay and storytelling truly worthy of the FINAL FANTASY name.","Step into the fray as Class Zero, a group of students from an elite military academy whose country is attacked by an aggressive neighbouring Empire. In the brutal and harrowing struggle that follows, defeat the Empire and uncover the secrets behind the war using a range of powerful magical and combat abilities and an exciting new battle system.<h2 class=""bb_tag"">Key Features:</h2><br><ul class=""bb_ul""><li>Upgraded graphics resolution options for high end pc’s<br></li><li>Improved in-game battle camera<br></li><li>Full controller support<br></li><li>Full STEAM achievements and trading cards<br></li><li>Scalable motion blur settings<br></li><li>New Character speed boost<br></li><li>Increased blood levels from the original PSP version<br></li><li>Customizable dynamic screen shot mode</li></ul>"
337000,Deus Ex: Mankind Divided™,"Aug 23, 2016","Action,RPG","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","Now an experienced covert operative, Adam Jensen is forced to operate in a world that has grown to despise his kind. Armed with a new arsenal of state-of-the-art weapons and augmentations, he must choose the right approach, along with who to trust, in order to unravel a vast worldwide conspiracy.","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/337000/extras/Jensen-Icarus-Dash.jpg?t=1513077042"" ><br>The year is 2029, and mechanically augmented humans have now been deemed outcasts, living a life of complete and total segregation from the rest of society. <br><br>Now an experienced covert operative, Adam Jensen is forced to operate in a world that has grown to despise his kind. Armed with a new arsenal of state-of-the-art weapons and augmentations, he must choose the right approach, along with who to trust, in order to unravel a vast worldwide conspiracy.<br><br>Buy Deus Ex: Mankind Divided now and receive the following bonus content FREE:<br><ul class=""bb_ul""><li>“Desperate Measures” extra in-game mission <br></li><li>Covert Agent Pack (Intruder Gear, Enforcer Gear and Classic Gear + 1 Praxis Kit + 1000 Credits)</li></ul>"
225540,Just Cause 3,"Nov 30, 2015","Action,Adventure","Full controller support,Single-player,Steam Achievements,Steam Trading Cards","With over 1000 km² of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/225540/extras/gif_take_3.jpg?t=1528820402"" ><br>The Mediterranean republic of Medici is suffering under the brutal control of General Di Ravello, a dictator with an insatiable appetite for power. Enter Rico Rodriguez, a man on a mission to destroy the General’s hold on power by any means necessary.  With over 400 square miles of complete freedom from sky to seabed and a huge arsenal of weaponry, gadgets and vehicles, prepare to unleash chaos in the most creative and explosive ways you can imagine.<h2 class=""bb_tag"">FEATURES:</h2><ul class=""bb_ul""><li>Explore a Mediterranean island paradise with complete vertical freedom – skydive, BASE jump and free dive in an open world with virtually zero limits<br></li><li>Glide through the air and swoop across mountains with your Wingsuit giving a new way to rain death from above<br></li><li>Use your Grapple and Parachute to scale buildings, hijack vehicles, move quickly or tether objects together for creative new ways to cause Chaos.  <br></li><li>Cause massive chains of destruction in military bases, harbours, prisons, police stations and communications facilities to bring down a dictator<br></li><li>Arm yourself with a wide range of explosive weaponry from shotguns and missile launchers to tank-busters and air-strikes<br></li><li>Choose from a huge variety of different vehicles to drive including speedboats, jets, helicopters, turbo-fuelled sports cars and super bikes<br></li><li>Get adventurous with dozens of challenge missions and collectibles to discover<br></li><li>Online community features</li></ul>"
239160,Thief,"Feb 27, 2014","Action,Adventure","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards",,"Garrett, the Master Thief, steps out of the shadows into the City. In this treacherous place, where the Baron’s Watch spreads a rising tide of fear and oppression, his skills are the only things he can trust. Even the most cautious citizens and their best-guarded possessions are not safe from his reach. <br>As an uprising emerges, Garrett finds himself entangled in growing layers of conflict. Lead by Orion, the voice of the people, the tyrannized citizens will do everything they can to claim back the City from the Baron’s grasp.  The revolution is inevitable. If Garrett doesn’t get involved, the streets will run red with blood and the City will tear itself apart.<br><br>Garrett never paid the price for anything… until now.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li><strong>YOU ARE GARRETT, THE MASTER THIEF</strong><br>Step into the silent shoes of Garrett, a dark and lonely thief with an unrivalled set of skills. The most challenging heists, the most inaccessible loots, the best kept secrets: nothing is out of your reach.<br></li><li><strong>THE CITY: YOURS FOR THE TAKING</strong><br>Explore the sick and troubled City, from its shady back alleys to the heights of its rooftops.  Sneak into  rich houses, Infiltrate the best-guarded mansions and lurk in every dark corner… unnoticed and unsanctioned. <br></li><li><strong>CHOOSE YOUR APPROACH</strong><br>Leverage Garrett’s arsenal to take down guards with your blackjack, shoot one of your many arrow types or use your newly acquired focus abilities to manipulate the environment and outsmart your enemies. What kind of master thief will you be?<br></li><li><strong>UNPRECEDENTED IMMERSION</strong><br>Become one with the world thanks to ground-breaking visual elements and a truly tactile and visceral first-person experience. Through jaw-dropping Next-Gen technical possibilities, Thief delivers unprecedented immersion through sights, sounds and artificial intelligence.</li></ul>"
